,first_guess,target_word,player,num_guesses,expected_guesses,luck,first_guess_vowels,first_guess_consonants,target_vowels,target_consonants,first_guess_entropy,target_entropy,target_guessed,mid_guesses_avg_vows,mid_guesses_avg_cons,avg_perf_letters,avg_wrong_pos_letters,avg_wrong_letters,avg_remaining,avg_intermediate_guess_entropy,valid_success
0,arose,vague,diane,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.52,58.31,True,2.6,2.4,6.0,9.0,26.0,19.0,99.9,True
1,arose,vague,wizard,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.52,58.31,True,2.6,2.4,7.0,4.0,30.0,19.25,99.9,True
2,douce,apple,aidan,5.0,6.0,0.23,3.0,2.0,2.0,3.0,63.7,62.88,True,2.6,2.4,5.0,11.0,30.0,49.5,92.74,True
3,douce,apple,wizard,6.0,6.0,0.0,3.0,2.0,2.0,3.0,63.7,62.88,True,2.33,2.67,12.0,4.0,43.0,40.0,93.95,True
4,douce,ninth,aidan,4.0,5.0,0.27,3.0,2.0,1.0,4.0,63.7,35.41,True,2.0,3.0,1.0,2.0,27.0,123.67,90.92,True
5,douce,ninth,wizard,5.0,5.0,0.0,3.0,2.0,1.0,4.0,63.7,35.41,True,1.8,3.2,3.0,12.0,35.0,95.5,92.74,True
6,douce,flail,aidan,4.0,4.0,0.09,3.0,2.0,2.0,3.0,63.7,42.27,True,2.5,2.5,3.0,6.0,21.0,123.0,90.92,True
7,douce,flail,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,42.27,True,2.25,2.75,6.0,0.0,21.0,120.67,90.92,True
8,douce,stage,aidan,4.0,4.0,0.09,3.0,2.0,2.0,3.0,63.7,81.44,True,2.5,2.5,4.0,3.0,22.0,65.67,90.92,True
9,douce,stage,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,81.44,True,2.25,2.75,9.0,0.0,15.0,59.67,90.92,True
10,douce,heady,aidan,5.0,4.0,-0.16,3.0,2.0,3.0,2.0,63.7,66.43,True,3.0,2.0,9.0,11.0,22.0,16.0,92.74,True
11,douce,heady,wizard,4.0,4.0,0.0,3.0,2.0,3.0,2.0,63.7,66.43,True,2.5,2.5,0.0,15.0,15.0,21.67,90.92,True
12,douce,usage,aidan,5.0,3.0,-0.55,3.0,2.0,3.0,2.0,63.7,73.76,True,2.4,2.6,5.0,14.0,31.0,10.0,92.74,True
13,douce,usage,wizard,3.0,3.0,0.0,3.0,2.0,3.0,2.0,63.7,73.76,True,3.0,2.0,2.0,5.0,7.0,18.0,87.9,True
14,douce,sound,aidan,6.0,3.0,-0.88,3.0,2.0,2.0,3.0,63.7,50.26,True,2.17,2.83,18.0,5.0,20.0,6.4,93.95,True
15,douce,sound,wizard,3.0,3.0,0.0,3.0,2.0,2.0,3.0,63.7,50.26,True,2.33,2.67,6.0,2.0,5.0,8.5,87.9,True
16,douce,salsa,aidan,6.0,4.0,-0.41,3.0,2.0,2.0,3.0,63.7,35.65,True,1.83,3.17,10.0,7.0,47.0,74.2,93.95,True
17,douce,salsa,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,35.65,True,2.25,2.75,3.0,4.0,23.0,123.67,90.92,True
18,douce,magic,aidan,5.0,4.0,-0.16,3.0,2.0,2.0,3.0,63.7,46.88,True,2.4,2.6,7.0,9.0,29.0,21.75,92.74,True
19,douce,magic,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,46.88,True,2.25,2.75,4.0,7.0,18.0,27.0,90.92,True
20,douce,avail,aidan,5.0,5.0,0.07,3.0,2.0,3.0,2.0,63.7,40.02,True,2.6,2.4,6.0,10.0,31.0,92.5,92.74,True
21,douce,avail,wizard,5.0,5.0,0.0,3.0,2.0,3.0,2.0,63.7,40.02,True,2.4,2.6,9.0,1.0,31.0,90.75,92.74,True
22,douce,kiosk,aidan,6.0,4.0,-0.41,3.0,2.0,2.0,3.0,63.7,33.88,True,2.17,2.83,8.0,12.0,45.0,34.2,93.95,True
23,douce,kiosk,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,33.88,True,2.5,2.5,2.0,8.0,20.0,55.33,90.92,True
24,douce,sweat,aidan,4.0,3.0,-0.21,3.0,2.0,2.0,3.0,63.7,78.03,True,2.5,2.5,3.0,6.0,21.0,114.0,90.92,True
25,douce,sweat,wizard,3.0,3.0,0.0,3.0,2.0,2.0,3.0,63.7,78.03,True,2.33,2.67,2.0,3.0,10.0,160.0,87.9,True
26,douce,ruddy,aidan,3.0,3.0,0.12,3.0,2.0,2.0,3.0,63.7,30.13,True,2.67,2.33,1.0,5.0,9.0,6.5,87.9,True
27,douce,ruddy,wizard,3.0,3.0,0.0,3.0,2.0,2.0,3.0,63.7,30.13,True,2.67,2.33,2.0,4.0,9.0,8.0,87.9,True
28,douce,vague,aidan,4.0,3.0,-0.21,3.0,2.0,3.0,2.0,63.7,58.31,True,3.0,2.0,5.0,4.0,18.0,12.33,90.92,True
29,douce,vague,wizard,3.0,3.0,0.0,3.0,2.0,3.0,2.0,63.7,58.31,True,3.0,2.0,4.0,3.0,7.0,18.0,87.9,True
30,arose,syrup,aidan,4.0,4.0,0.0,3.0,2.0,2.0,3.0,99.52,49.33,True,2.5,2.5,0.0,12.0,16.0,7.67,99.88,True
31,arose,syrup,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,99.52,49.33,True,2.0,3.0,3.0,10.0,16.0,8.67,99.88,True
32,adore,above,aidan,2.0,3.0,0.36,3.0,2.0,3.0,2.0,91.2,65.88,True,3.0,2.0,3.0,0.0,2.0,4.0,95.6,True
33,adore,above,wizard,3.0,3.0,0.0,3.0,2.0,3.0,2.0,91.2,65.88,True,3.0,2.0,6.0,0.0,6.0,3.0,97.07,True
34,arose,moose,aidan,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.52,53.6,True,2.6,2.4,12.0,0.0,22.0,4.5,99.9,True
35,arose,moose,wizard,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.52,53.6,True,2.6,2.4,13.0,0.0,19.0,4.5,99.9,True
36,arose,polka,aidan,4.0,4.0,0.0,3.0,2.0,2.0,3.0,99.52,55.0,True,2.5,2.5,3.0,7.0,19.0,21.33,99.88,True
37,arose,polka,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,99.52,55.0,True,2.5,2.5,3.0,11.0,15.0,16.67,99.88,True
38,audio,syrup,dad,4.0,3.0,-0.21,4.0,1.0,2.0,3.0,62.03,49.33,True,2.5,2.5,1.0,10.0,18.0,37.0,90.51,True
39,audio,syrup,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.03,49.33,True,2.67,2.33,0.0,4.0,11.0,56.0,87.34,True
40,audio,worse,dad,4.0,4.0,0.09,4.0,1.0,2.0,3.0,62.03,76.42,True,2.5,2.5,5.0,9.0,15.0,95.67,90.51,True
41,audio,worse,wizard,4.0,4.0,0.0,4.0,1.0,2.0,3.0,62.03,76.42,True,2.5,2.5,5.0,9.0,15.0,95.67,90.51,True
42,audio,worse,diane,4.0,4.0,0.09,4.0,1.0,2.0,3.0,62.03,76.42,True,2.5,2.5,4.0,8.0,17.0,97.0,90.51,True
44,audio,polka,diane,3.0,3.0,0.13,4.0,1.0,2.0,3.0,62.03,55.0,True,2.67,2.33,3.0,5.0,7.0,39.0,87.34,True
45,audio,polka,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.03,55.0,True,3.0,2.0,1.0,6.0,8.0,39.0,87.34,True
46,audio,polka,dad,4.0,3.0,-0.21,4.0,1.0,2.0,3.0,62.03,55.0,True,2.5,2.5,2.0,11.0,17.0,32.0,90.51,True
48,audio,moose,dad,6.0,6.0,0.06,4.0,1.0,3.0,2.0,62.03,53.6,True,2.83,2.17,13.0,9.0,37.0,60.0,93.67,True
49,audio,moose,wizard,6.0,6.0,0.0,4.0,1.0,3.0,2.0,62.03,53.6,True,2.67,2.33,12.0,9.0,39.0,60.0,93.67,True
50,audio,moose,diane,4.0,6.0,0.4,4.0,1.0,3.0,2.0,62.03,53.6,True,2.75,2.25,5.0,5.0,18.0,98.33,90.51,True
52,homes,squat,kai,3.0,4.0,0.34,2.0,3.0,2.0,3.0,65.03,50.67,True,1.67,3.33,2.0,4.0,9.0,81.5,88.34,True
53,homes,squat,wizard,4.0,4.0,0.0,2.0,3.0,2.0,3.0,65.03,50.67,True,2.0,3.0,2.0,9.0,18.0,54.67,91.26,True
54,audio,above,diane,3.0,4.0,0.34,4.0,1.0,3.0,2.0,62.03,65.88,True,3.33,1.67,4.0,2.0,8.0,16.5,87.34,True
55,audio,above,wizard,4.0,4.0,0.0,4.0,1.0,3.0,2.0,62.03,65.88,True,3.25,1.75,7.0,3.0,15.0,12.0,90.51,True
56,audio,squat,diane,3.0,3.0,0.13,4.0,1.0,2.0,3.0,62.03,50.67,True,3.0,2.0,2.0,6.0,7.0,17.0,87.34,True
57,audio,squat,wizard,3.0,3.0,0.0,4.0,1.0,2.0,3.0,62.03,50.67,True,3.0,2.0,2.0,6.0,7.0,17.0,87.34,True
58,audio,squat,dad,3.0,3.0,0.13,4.0,1.0,2.0,3.0,62.03,50.67,True,3.0,2.0,1.0,6.0,8.0,17.0,87.34,True
